customer Details,Overall Ratings,summary,Likelihood,pros and cons
"Chris H.
Director of Communication
Health, Wellness and Fitness, 1001-5000 employees
Used the software for: 2+ years
Source: Capterra","5/5
Overall","Everyone Should Use Zoom!
Nov 11, 2016",10.0/10,"Pros: What is not to like? Better quality than the rest and easier to use! They are responsive to feature requests. The Zoom Rooms product is amazing too.
Cons: Not much.
Overall: Seriously, if you do any sort of video or web conferencing...even if it is just to share your screen, Zoom is so much better than any other solution. I've tried them all. And it is often cheaper. I now have about 25 business users and another 50-60 free users. This has by far been the easiest tech rollout in our company in an industry with generally very non-tech people.
Recommendations to other buyers: Get it. You can start free!"
"Chance M.
Program Analyst
Financial Services, 1001-5000 employees
Used the software for: 1-2 years
Source: Capterra","5/5
Overall","Two Thumbs Up From a Daily User
Dec 05, 2016",10.0/10,"Pros: Simple and clean UI

Reliable
Cons: Has to have a taskbar icon instead of just a system tray icon (very nitpicky)
Overall: I started using Zoom about a year ago and it has become my new go-to for web meetings. The UI is simple while still offering much of the same functionality of its competitors. I have also yet to have crashing issues as I have experienced with similar products. I don't really have anything negative to say.
Recommendations to other buyers: Use it."
"Cristina B.
Source: Capterra","5/5
Overall","Always connected
Dec 06, 2016",NA,"Comments: Zoom has been a great tool to stay connected with family, friends and colleagues around the world! I recently used Zoom for an appointment with the family lawyer and my sister, all of us being in different cities."
"Todd B.
Happiness Lead
Internet, 51-200 employees
Used the software for: 6-12 months
Source: Capterra","4/5
Overall","Critical for Medium to Large Remote Companies
Oct 03, 2016",8.0/10,"Pros: It makes video calling with large groups super easy, allows for video call record, easy invite with a link to call, scheduling calls. I use the Desktop app most the time, but the mobile app has been very handy for calls on the go. I've never used a video conferencing app that can support so many callers in one session, makes for a pretty magical experience to bring your whole team together from literally across the world.
Cons: Zoom for me does have call stability issues. Overall I have relatively rock solid internet connection, yet it can drop video calls from time to time. The tricky thing is it's hard to know who drops the call. It's a con, but I want to be gracious to Zoom because they essentially perform a miracle every time you make a call with tons of people. I wish they had a better way to downgrade video performance but keep video calls live.
The truth still stands that I'm not sure anyone else is doing what they are capable of, so overall still very pleased despite the occasional hiccup with connection.
Overall: This is video conferencing made available to nearly anyone with it being available on every major platform and supports dial in. If you work with teams of 10 or more and need video conferencing I've found no other service that work better.
We use Zoom at my company for every meeting from 1:1s to All Hands meetings of 90+ people (up to 500 I believe). Overall the product is quite simple and makes Video and VOIP calling easy. It has a great ability to allow you to schedule video calls in the future and share a link to the video. This is super handy for calls within your team or outside.
Recommendations to other buyers: Have fast and consistent internet speeds if you intend to take regular calls. Spotty connections can be a damper on calls."
"Nicholas S.
Source: Capterra","4/5
Overall","Simple to Use Web Conferencing
Oct 04, 2016",NA,"Comments: My employer recently switched from GoTo Meeting to Zoom. The transition was relatively painless. It works on the same principle as GoTo, but with a different layout and locations for the various features. I do like the ability to draw/markup the screen, very handy. Overall I like it and don't feel like I am missing out. Call quality in general is good, although occasionally will get some sound outages."
"Stephen M.
Source: Capterra","5/5
Overall","Essential to Meetings
Oct 13, 2016",NA,"Comments: An incredibly helpful, multi-platform meeting tool that is used to hold virtual meetings as not all members are always able to be present in the location specified."
"Spencer H.
Source: Capterra","5/5
Overall","Our team uses Zoom every day to connect internally and externally
Oct 14, 2016",NA,"Comments: Our company searched quite a bit for a light weight video conferencing app that met our needs. With other services we struggled with finding the right balance between easy to use features (recordings, screen share, etc.) and simplicity. We also like that it doesn't crash on us all the time like others did when we were on the market."
"Amber K.
Source: Capterra","4/5
Overall","Great Video Conferencing
Nov 04, 2016",NA,"Comments: I don't generally like video conferences because I've had so many technical difficulties in the past with the platforms but zoom is the exception to that rule. Zoom has made it so easy for us to do video conferences and I've never had any buffering issues, loss of audio or any other issues I've experienced with other programs."
"Dave H.
Sr Network Advisor
Non-Profit Organization Management, 1-10 employees
Used the software for: 1-2 years
Source: Capterra","5/5
Overall","Made us more productive
Nov 15, 2016",10.0/10,"Pros: We like its consistent quality connection across a variety of connection speeds, its video capacity, and how user-friendly it is for groups.
Cons: I wish that there were more views of the video feeds, more beyond the two built-in viewing options.
Overall: We moved over to Zoom after using another service for several years and have not looked back. Zoom works very reliably for our virtual team - and we fire it up at least once a day if not several times a day for our team of ten scattered around the country. Now that we've been using it a number of global network groups have shifted over as well, so about three times a week I'll be in on a call with reps on it - with video feeds - from Asia, Africa, Europe, Middle East, India, and Latin America. Here's an underrated service that Zoom allows: Breakout rooms! So anytime we have more than one conversation to hold, we break out easily, assign people to the rooms, and voila! Separate rooms. Great value for price, and a quality product."
"Olivia W.
Sales Development Representative
Internet, 201-500 employees
Used the software for: 6-12 months
Source: Capterra","4/5
Overall","One of the least-crappy conferencing services
Nov 15, 2016",8.0/10,"Pros: Easy to use, easy plugin
Cons: Not great for large group meetings.
Overall: It's amazing how bad video conferencing is given how great data and the internet are in general. But Zoom at least doesn't crash very often and has a relatively easy plugin. I've used Citrix and all the others out there...I think my absolute favorite for ease of use is Uberconference, but it doesn't have as much functionality. Zoom is the right balance if you're doing small group or 1:1 meetings. It's probably not the best for giant webinars or complex screen sharing/drawing (in which case you'll likely need GotoMeeting or one of the other big ones.
Recommendations to other buyers: No
Vendor Response
by Zoom Video Communications on November 18, 2016
Hi Olivia,
We appreciate your feedback! Zoom typically performs very well for large meetings and webinars, so I would suggest contacting our support team if you are encountering problems (https://support.zoom.us/hc/en-us/requests/new).
Thanks for being a customer, and thanks again for your review!
-Peter from Zoom"
